(0.5+0j),(0.5+0j),(0.5+0j),(0.5+0j)
(0.5452812014198474+0j),(0.4501870791148407+0j),(0.5452812014198474+0j),(0.4501870791148407+0j)
(0.5842518999702386+0j),(0.3983085588521214+0j),(0.5842518999702386+0j),(0.3983085588521214+0j)
(0.6161594741117957+0j),(0.3469113581452957+0j),(0.6161594741117957+0j),(0.3469113581452957+0j)
(0.6411714154926893+0j),(0.29815969277959375+0j),(0.6411714154926893+0j),(0.29815969277959375+0j)
(0.6600868714686736+0j),(0.25354547489205426+0j),(0.6600868714686736+0j),(0.25354547489205426+0j)
(0.6739938311092193+0j),(0.21385111887139852+0j),(0.6739938311092193+0j),(0.21385111887139852+0j)
(0.6840023640416796+0j),(0.17927841833419328+0j),(0.6840023640416796+0j),(0.17927841833419328+0j)
(0.6910930290947281+0j),(0.14963425539337233+0j),(0.6910930290947281+0j),(0.14963425539337233+0j)
(0.6960599913074825+0j),(0.1245006102933875+0j),(0.6960599913074825+0j),(0.1245006102933875+0j)
(0.6995116193513004+0j),(0.10336040235018577+0j),(0.6995116193513004+0j),(0.10336040235018577+0j)
